"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.118444159E2,6.505394541E1,2.546540878E1,8.074794140E0,1.179999948E0,1.723000031E2,3.790092468E0,2.500000000E0
1.128460306E2,6.505393464E1,2.546540888E1,7.730621035E0,1.320000052E0,1.796999969E2,3.790092468E0,2.500000000E0
1.138459669E2,6.505392298E1,2.546541091E1,7.694492908E0,1.299999952E0,1.793999939E2,3.790092468E0,2.500000000E0
1.148453334E2,6.505390999E1,2.546541326E1,7.864542084E0,1.309999943E0,1.683999939E2,3.790092468E0,2.500000000E0
1.158506610E2,6.505389613E1,2.546541209E1,7.906844638E0,1.320000052E0,1.728000031E2,3.790092468E0,2.500000000E0
1.168510357E2,6.505387967E1,2.546540925E1,8.118947817E0,1.320000052E0,1.751000061E2,3.790092468E0,2.500000000E0
1.178498334E2,6.505386622E1,2.546540533E1,7.895258712E0,1.309999943E0,1.801999969E2,3.790092468E0,2.500000000E0
1.188496689E2,6.505385223E1,2.546539821E1,8.065612444E0,1.330000043E0,1.873999939E2,3.790092468E0,2.500000000E0
1.198510415E2,6.505383952E1,2.546539552E1,7.694096037E0,1.330000043E0,1.813999939E2,3.790092468E0,2.500000000E0
1.208478713E2,6.505382926E1,2.546538989E1,7.064582774E0,1.230000019E0,1.883999939E2,3.790092468E0,2.500000000E0
1.218509790E2,6.505381632E1,2.546538567E1,6.457226450E0,1.289999962E0,1.853999939E2,3.790092468E0,2.500000000E0
1.228502587E2,6.505380407E1,2.546538013E1,6.136490815E0,1.210000038E0,1.836000061E2,3.790092468E0,2.500000000E0
1.238495493E2,6.505379411E1,2.546537270E1,5.574421095E0,1.230000019E0,1.896000061E2,3.790092468E0,2.500000000E0
1.248500773E2,6.505378387E1,2.546537036E1,5.380271942E0,1.269999981E0,1.825000000E2,3.790092468E0,2.500000000E0
1.258475602E2,6.505377297E1,2.546536450E1,4.829189077E0,1.289999962E0,1.940000000E2,3.790092468E0,2.500000000E0
1.268463832E2,6.505375835E1,2.546536707E1,5.352571420E0,1.419999957E0,1.730000000E2,3.790092468E0,2.500000000E0
1.278491525E2,6.505374436E1,2.546536837E1,5.426673603E0,1.279999971E0,1.766999969E2,3.790092468E0,2.500000000E0
1.288446116E2,6.505373200E1,2.546536807E1,5.316876065E0,1.279999971E0,1.846000061E2,3.790092468E0,2.500000000E0
1.298456723E2,6.505371933E1,2.546536961E1,5.497239974E0,1.269999981E0,1.786999969E2,3.790092468E0,2.500000000E0
1.308484609E2,6.505370801E1,2.546537096E1,5.490713696E0,1.210000038E0,1.806999969E2,3.790092468E0,2.500000000E0
1.318455268E2,6.505369536E1,2.546537360E1,5.829280838E0,1.279999971E0,1.853999939E2,3.790092468E0,2.500000000E0
1.328450856E2,6.505368131E1,2.546537540E1,6.167726358E0,1.309999943E0,1.806000061E2,3.790092468E0,2.500000000E0
1.338489992E2,6.505366873E1,2.546537491E1,5.999884451E0,1.279999971E0,1.841999969E2,3.790092468E0,2.500000000E0
1.348489908E2,6.505365501E1,2.546537546E1,6.148876587E0,1.250000000E0,1.831000061E2,3.790092468E0,2.500000000E0
1.358487516E2,6.505364193E1,2.546537827E1,6.010332096E0,1.289999962E0,1.785000000E2,3.790092468E0,2.500000000E0
1.368474188E2,6.505363053E1,2.546537736E1,5.519674750E0,1.210000038E0,1.826000061E2,3.790092468E0,2.500000000E0
1.378475478E2,6.505362014E1,2.546537339E1,5.175195893E0,1.220000029E0,1.821000061E2,3.790092468E0,2.500000000E0
1.388496557E2,6.505360843E1,2.546537024E1,5.285856790E0,1.230000019E0,1.798999939E2,3.790092468E0,2.500000000E0
1.398506249E2,6.505359670E1,2.546536784E1,5.434908886E0,1.259999990E0,1.845000000E2,3.790092468E0,2.500000000E0
1.408449185E2,6.505358387E1,2.546536489E1,5.574622967E0,1.279999971E0,1.838999939E2,3.790092468E0,2.500000000E0
1.418443816E2,6.505357266E1,2.546536189E1,5.240886715E0,1.240000010E0,1.861000061E2,3.790092468E0,2.500000000E0
1.428445075E2,6.505356166E1,2.546536127E1,6.114670165E0,1.210000038E0,1.823000031E2,3.790092468E0,2.500000000E0
1.438472504E2,6.505354839E1,2.546536239E1,6.620351642E0,1.320000052E0,1.778999939E2,3.790092468E0,2.500000000E0
1.448474230E2,6.505353436E1,2.546536475E1,7.480159518E0,1.309999943E0,1.775000000E2,3.790092468E0,2.500000000E0
1.458486301E2,6.505352101E1,2.546536578E1,7.712342481E0,1.240000010E0,1.798999939E2,3.790092468E0,2.500000000E0
