"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.286839220E-1,2.244487405E-1,8.666782379E-1,3.058500290E-1
8.337071520E-1,1.010727882E-1,8.061723709E-1,2.881174088E-1
8.387303290E-1,-3.623932600E-2,7.504873276E-1,2.641625404E-1
8.437535580E-1,-9.236699343E-2,7.327165604E-1,2.082486153E-1
8.488746000E-1,-1.654736996E-1,6.717958450E-1,1.012554169E-1
8.538977770E-1,-3.250888586E-1,6.060333252E-1,-9.222078323E-2
8.589210060E-1,-4.516997337E-1,5.618667603E-1,-3.555171490E-1
8.639442350E-1,-4.670617580E-1,5.298261642E-1,-5.505950451E-1
8.689674120E-1,-4.336506128E-1,4.933385849E-1,-7.163531780E-1
8.739906410E-1,-4.396679401E-1,4.549770355E-1,-7.914295197E-1
8.791344950E-1,-4.348232746E-1,4.172964096E-1,-8.005554676E-1
8.841576720E-1,-3.450975418E-1,3.920879364E-1,-7.747919559E-1
8.891809020E-1,-2.706114650E-1,3.866338730E-1,-7.600054741E-1
8.942041310E-1,-1.921173334E-1,3.556051254E-1,-6.656923294E-1
8.992273080E-1,-8.322864771E-2,3.655414581E-1,-4.844803810E-1
9.042505370E-1,1.091575623E-2,3.876199722E-1,-2.906270027E-1
9.094177250E-1,9.764164686E-2,3.098840714E-1,-1.342802048E-1
9.144409020E-1,1.389124393E-1,2.611312866E-1,-6.675338745E-2
9.194641310E-1,1.802214086E-1,2.389802933E-1,1.688766479E-2
9.244873600E-1,2.220104635E-1,2.456979752E-1,1.093955040E-1
9.295105370E-1,2.119543254E-1,2.122163773E-1,1.817936897E-1
9.345337660E-1,1.262180209E-1,1.124553680E-1,2.605843544E-1
9.396673080E-1,-2.270579338E-2,6.476402283E-3,3.097243309E-1
9.446904850E-1,-1.544618607E-2,-3.539085388E-3,4.395537376E-1
9.497137140E-1,1.401284337E-1,7.467746735E-2,5.473403931E-1
9.547368910E-1,2.402852774E-1,1.212739944E-1,5.836601257E-1
9.597601200E-1,3.520615697E-1,1.290340424E-1,5.946955681E-1
9.647833500E-1,4.804275632E-1,1.862926483E-1,7.355313301E-1
9.699343390E-1,5.183746815E-1,1.927242279E-1,8.387231827E-1
9.749575160E-1,4.897834659E-1,1.508560181E-1,8.260512352E-1
9.799807450E-1,4.572211206E-1,1.277732849E-1,8.122949600E-1
9.850039750E-1,3.636493683E-1,3.755569458E-2,7.927947044E-1
9.900271520E-1,2.520808578E-1,-3.103160858E-2,7.074508667E-1
9.950503810E-1,1.724320650E-1,-2.091026306E-2,6.161189079E-1
1.000192568E0,1.034248471E-1,-6.829929352E-2,5.307564735E-1
1.005215745E0,-3.459721804E-2,-1.014842987E-1,4.251012802E-1
1.010238975E0,-1.008413434E-1,-7.756423950E-2,3.085799217E-1
1.015262204E0,-1.145504713E-1,-9.458160400E-2,2.123422623E-1
